Distance_x;Distance_y;Current_velocity_x;Height;Hole_width;Action;Value
-3;8;0;7;15;NO_ACTION;-2,21291666767825
-3;8;-10;7;15;MOVE_LEFT;-1,50215290127996
-3;8;-10;7;15;MOVE_RIGHT;-1,48114616100946
-3;8;-10;7;15;MORPH_UP;-1,52503004372226
-3;8;-10;7;15;MORPH_DOWN;-1,61550486028551
-3;8;-10;7;15;NO_ACTION;-1,71874457803002
-3;8;-30;7;15;MOVE_LEFT;-0,621100783534804
-3;8;-30;7;15;MOVE_RIGHT;-0,584197751097126
-3;8;-30;7;15;MORPH_UP;-0,585947105424419
-3;8;-30;7;15;MORPH_DOWN;-0,771399466863863
-3;8;-30;7;15;NO_ACTION;-0,580340115097842
-4;11;-30;10;15;MOVE_LEFT;-1,52269711308931
-4;11;-30;10;15;MOVE_RIGHT;-1,69100112102723
-4;11;-30;10;15;MORPH_UP;-1,57783046669932
-4;11;-30;10;15;MORPH_DOWN;-1,62509548117889
-4;11;-30;10;15;NO_ACTION;-1,74347603639854
-4;12;-40;11;15;MOVE_LEFT;-0,515285595865976
-4;12;-40;11;15;MOVE_RIGHT;-0,498401875809564
-4;12;-40;11;15;MORPH_UP;-0,674342831599611
-4;12;-40;11;15;MORPH_DOWN;-0,45119400220796
-4;12;-40;11;15;NO_ACTION;-0,527086106720136
-5;10;-40;9;15;MOVE_LEFT;-0,739999184862601
-5;10;-40;9;15;MOVE_RIGHT;-0,723108302429962
-5;10;-40;9;15;MORPH_UP;-0,619268400438891
-5;10;-40;9;15;MORPH_DOWN;-0,645408189205749
-5;10;-40;9;15;NO_ACTION;-0,508970164905168
-5;10;-30;9;15;MOVE_LEFT;-1,24975087012325
-5;10;-30;9;15;MOVE_RIGHT;-1,07742818000939
-5;10;-30;9;15;MORPH_UP;-1,40327506065914
-5;10;-30;9;15;MORPH_DOWN;-1,2017967233393
-5;10;-30;9;15;NO_ACTION;-1,1143012685681
-5;8;40;7;15;MOVE_LEFT;-1,14085813261036
-5;8;40;7;15;MOVE_RIGHT;-1,09469037293591
-5;8;40;7;15;MORPH_UP;-1,45377468386022
-5;8;40;7;15;MORPH_DOWN;-1,22943518735383
-5;8;40;7;15;NO_ACTION;-1,12720438106115
-5;8;60;7;15;MOVE_LEFT;0
-5;8;60;7;15;MOVE_RIGHT;-0,100000001490116
-5;8;60;7;15;MORPH_UP;0
-5;8;60;7;15;MORPH_DOWN;-0,184161192991798
-5;8;60;7;15;NO_ACTION;0
-4;8;70;7;15;MOVE_LEFT;-0,118050001575053
-4;8;70;7;15;MOVE_RIGHT;-0,190000000447035
-4;8;70;7;15;MORPH_UP;0
-4;8;70;7;15;MORPH_DOWN;-0,100000001490116
-4;8;70;7;15;NO_ACTION;-0,100000001490116
-3;8;90;7;15;MOVE_LEFT;0
-3;8;90;7;15;MOVE_RIGHT;-0,100000001490116
-3;8;90;7;15;MORPH_UP;-0,109500001654029
-3;8;90;7;15;MORPH_DOWN;0
-3;8;90;7;15;NO_ACTION;0
-1;8;110;7;15;MOVE_LEFT;0
-1;8;110;7;15;MOVE_RIGHT;0
-1;8;110;7;15;MORPH_UP;-0,100000001490116
-1;8;110;7;15;MORPH_DOWN;0
-1;8;110;7;15;NO_ACTION;0
0;11;100;10;15;MOVE_LEFT;0
0;11;100;10;15;MOVE_RIGHT;-0,190000000447035
0;11;100;10;15;MORPH_UP;0
0;11;100;10;15;MORPH_DOWN;0
0;11;100;10;15;NO_ACTION;0
2;12;120;11;15;MOVE_LEFT;-0,100000001490116
2;12;120;11;15;MOVE_RIGHT;0
2;12;120;11;15;MORPH_UP;0
2;12;120;11;15;MORPH_DOWN;0
2;12;120;11;15;NO_ACTION;0
3;12;90;11;15;MOVE_LEFT;-0,128190776287832
3;12;90;11;15;MOVE_RIGHT;-0,109500001654029
3;12;90;11;15;MORPH_UP;-0,100000001490116
3;12;90;11;15;MORPH_DOWN;-0,109500001654029
3;12;90;11;15;NO_ACTION;-0,100000001490116
5;11;90;11;15;MOVE_LEFT;-0,190000000447035
5;11;90;11;15;MOVE_RIGHT;-0,100000001490116
5;11;90;11;15;MORPH_UP;-0,100000001490116
5;11;90;11;15;MORPH_DOWN;-0,100000001490116
5;11;90;11;15;NO_ACTION;-0,270999997362495
-5;7;-10;6;15;MOVE_LEFT;-3,19819646854093
-5;7;-10;6;15;MOVE_RIGHT;-3,275077572646
-5;7;-10;6;15;MORPH_UP;-3,06352814137793
-5;7;-10;6;15;MORPH_DOWN;-3,18495019454928
-5;7;-10;6;15;NO_ACTION;-3,22157239727924
-5;7;40;6;15;MOVE_LEFT;-3,79459845380567
-5;7;40;6;15;MOVE_RIGHT;-2,92833148637347
-5;7;40;6;15;MORPH_UP;-3,01659087502798
-5;7;40;6;15;MORPH_DOWN;-3,04200614748342
-5;7;40;6;15;NO_ACTION;-3,30740911717136
-5;7;-20;6;15;MOVE_LEFT;-2,93447145847226
-5;7;-20;6;15;MOVE_RIGHT;-3,15348834815243
-5;7;-20;6;15;MORPH_UP;-2,91530880343349
-5;7;-20;6;15;MORPH_DOWN;-2,85382250689802
-5;7;-20;6;15;NO_ACTION;-2,90504730668622
-5;12;10;11;15;MOVE_LEFT;-2,10070492157593
-5;12;10;11;15;MOVE_RIGHT;-2,02337106172019
-5;12;10;11;15;MORPH_UP;-2,10629529439361
-5;12;10;11;15;MORPH_DOWN;-2,1031601862806
-5;12;10;11;15;NO_ACTION;-2,00694231154226
-5;10;10;9;15;MOVE_LEFT;-2,54378796533328
-5;10;10;9;15;MOVE_RIGHT;-2,50835047057596
-5;10;10;9;15;MORPH_UP;-2,61055474496928
-5;10;10;9;15;MORPH_DOWN;-2,66498963741783
-5;10;10;9;15;NO_ACTION;-2,8144679944563
-5;8;0;7;15;MOVE_LEFT;-2,67689768331624
-5;8;0;7;15;MOVE_RIGHT;-2,74526966684406
-5;8;0;7;15;MORPH_UP;-2,78722262522194
-5;8;0;7;15;MORPH_DOWN;-2,66358425761931
-5;8;0;7;15;NO_ACTION;-2,91763621434428
-5;8;-30;7;15;MOVE_LEFT;-1,39429478751637
-5;8;-30;7;15;MOVE_RIGHT;-1,37996497742705
-5;8;-30;7;15;MORPH_UP;-1,44577746007696
-5;8;-30;7;15;MORPH_DOWN;-1,4792738650092
-5;8;-30;7;15;NO_ACTION;-1,36902690209875
-5;8;20;7;15;MOVE_LEFT;-2,16308942899275
-5;8;20;7;15;MOVE_RIGHT;-2,05553157358231
-5;8;20;7;15;MORPH_UP;-2,07620488621362
-5;8;20;7;15;MORPH_DOWN;-2,14672354623605
-5;8;20;7;15;NO_ACTION;-2,09277862597416
-5;6;10;5;15;MOVE_LEFT;-2,63586930994758
-5;6;10;5;15;MOVE_RIGHT;-2,62670744642433
-5;6;10;5;15;MORPH_UP;-2,6107226275172
-5;6;10;5;15;MORPH_DOWN;-2,63993349005944
-5;6;10;5;15;NO_ACTION;-2,72994604942892
-5;12;20;11;15;MOVE_LEFT;-2,11036043732036
-5;12;20;11;15;MOVE_RIGHT;-1,58496850706288
-5;12;20;11;15;MORPH_UP;-1,60371525498461
-5;12;20;11;15;MORPH_DOWN;-1,67810340509596
-5;12;20;11;15;NO_ACTION;-1,61437266772204
-4;13;40;12;15;MOVE_LEFT;-2,12684779603784
-4;13;40;12;15;MOVE_RIGHT;-2,02454329524726
-4;13;40;12;15;MORPH_UP;-1,99992858729759
-4;13;40;12;15;MORPH_DOWN;-1,98965941703493
-4;13;40;12;15;NO_ACTION;-2,15287409474446
-3;13;70;12;15;MOVE_LEFT;-0,808296857423674
-3;13;70;12;15;MOVE_RIGHT;-0,550301284174466
-3;13;70;12;15;MORPH_UP;-0,661843080884426
-3;13;70;12;15;MORPH_DOWN;-0,592363195966778
-3;13;70;12;15;NO_ACTION;-0,544349792429066
-2;13;70;12;15;MOVE_LEFT;-0,840632164552208
-2;13;70;12;15;MOVE_RIGHT;-0,741420285136771
-2;13;70;12;15;MORPH_UP;-0,818923824961059
-2;13;70;12;15;MORPH_DOWN;-0,714442547860807
-2;13;70;12;15;NO_ACTION;-0,847281756635241
0;13;70;12;15;MOVE_LEFT;-0,723158864314653
0;13;70;12;15;MOVE_RIGHT;-0,641246908536004
0;13;70;12;15;MORPH_UP;-0,625891721051092
0;13;70;12;15;MORPH_DOWN;-0,707522211530421
0;13;70;12;15;NO_ACTION;-0,678239409838501
0;13;50;12;15;MOVE_LEFT;-1,14235177938979
0;13;50;12;15;MOVE_RIGHT;-1,11721043530466
0;13;50;12;15;MORPH_UP;-1,23184230524582
0;13;50;12;15;MORPH_DOWN;-1,13452711839641
0;13;50;12;15;NO_ACTION;-1,17988629727693
1;13;40;12;15;MOVE_LEFT;-1,33374804437202
1;13;40;12;15;MOVE_RIGHT;-1,27582701420023
1;13;40;12;15;MORPH_UP;-1,39570837669896
1;13;40;12;15;MORPH_DOWN;-1,29958029323108
1;13;40;12;15;NO_ACTION;-1,35843716365362
2;13;50;12;15;MOVE_LEFT;-0,887946147433843
2;13;50;12;15;MOVE_RIGHT;-0,855328875791352
2;13;50;12;15;MORPH_UP;-0,89146177864174
2;13;50;12;15;MORPH_DOWN;-0,885713629315886
