Distance;Current_Velocity;Target_Velocity;Move;Value;Times
9;-60;160;ROLL_LEFT;144,530566627017;591
9;-60;160;ROLL_RIGHT;32,0292274295276;110
8;-40;160;ROLL_LEFT;146,275163192587;624
8;-40;160;ROLL_RIGHT;34,807664180195;113
7;-40;160;ROLL_LEFT;144,305677300229;554
7;-40;160;ROLL_RIGHT;33,8428070032532;103
5;-60;160;ROLL_LEFT;136,31660216575;623
5;-60;160;ROLL_RIGHT;24,4279357567268;82
4;-80;160;ROLL_LEFT;132,852046909658;589
4;-80;160;ROLL_RIGHT;20,5013887664446;109
3;-80;160;ROLL_LEFT;130,148809567184;602
3;-80;160;ROLL_RIGHT;17,6965276517386;82
2;-80;160;ROLL_LEFT;127,678419780382;495
2;-80;160;ROLL_RIGHT;16,6266804339307;96
1;-80;160;ROLL_LEFT;124,692787998564;414
1;-80;160;ROLL_RIGHT;15,167642310106;77
1;100;-160;ROLL_LEFT;9,11790473838411;80
1;100;-160;ROLL_RIGHT;121,699384741068;378
2;100;-160;ROLL_LEFT;8,42460140302864;61
2;100;-160;ROLL_RIGHT;121,330066187159;313
4;120;-160;ROLL_LEFT;3,20453428898497;76
4;120;-160;ROLL_RIGHT;117,676373256335;360
5;120;-160;ROLL_LEFT;98,28510775831;55
5;120;-160;ROLL_RIGHT;104,449296242808;299
6;100;-160;ROLL_LEFT;-8,95618460448978;24
6;100;-160;ROLL_RIGHT;112,891608600246;143
8;80;-160;ROLL_LEFT;-21,7005276622828;18
8;80;-160;ROLL_RIGHT;99,95610926488;95
9;60;-160;ROLL_LEFT;-13,2178000315144;32
9;60;-160;ROLL_RIGHT;99,0088351055928;213
10;60;-160;ROLL_LEFT;-16,7733380800737;52
10;60;-160;ROLL_RIGHT;95,9574931572913;305
11;80;-160;ROLL_LEFT;89,1904261694594;208
11;80;-160;ROLL_RIGHT;94,2141733707191;74
12;80;-160;ROLL_LEFT;106,864839044653;426
12;80;-160;ROLL_RIGHT;-7,43862506376584;73
13;80;-160;ROLL_LEFT;107,042877096759;644
13;80;-160;ROLL_RIGHT;-3,57868966192886;145
14;80;-160;ROLL_LEFT;105,596667709809;738
14;80;-160;ROLL_RIGHT;-9,21917248632502;128
15;80;-160;ROLL_LEFT;101,728015921476;820
15;80;-160;ROLL_RIGHT;-8,84786728437538;154
16;60;-160;ROLL_LEFT;96,0356311394186;1256
16;60;-160;ROLL_RIGHT;-16,0563169402212;223
17;80;-160;ROLL_LEFT;97,518484066611;1078
17;80;-160;ROLL_RIGHT;-14,2736605087901;182
