Distance;Current_Velocity;Target_Velocity;Move;Value;Times
5;-40;-160;NO_ACTION;70,4970222433056;740
4;-40;-160;ROLL_LEFT;74,6608355152939;117
4;-40;-160;ROLL_RIGHT;80,423833279132;809
4;-40;-160;NO_ACTION;73,2120604962823;121
3;-20;-160;ROLL_LEFT;94,1412482311076;68
3;-20;-160;ROLL_RIGHT;101,651576020728;361
3;-20;-160;NO_ACTION;79,4396552752632;43
3;-40;-160;ROLL_LEFT;83,1404050034808;94
3;-40;-160;ROLL_RIGHT;81,0072958241985;140
3;-40;-160;NO_ACTION;80,0040768077892;503
2;-20;-160;ROLL_LEFT;79,3858606981852;75
2;-20;-160;ROLL_RIGHT;88,4627870408898;355
2;-20;-160;NO_ACTION;78,2256690631732;54
1;-40;-160;ROLL_LEFT;84,0282491291526;380
1;-40;-160;ROLL_RIGHT;83,3101310277983;76
1;-40;-160;NO_ACTION;90,5781632054386;114
0;40;160;ROLL_LEFT;91,8781527694068;60
0;40;160;ROLL_RIGHT;98,4899970833722;54
0;40;160;NO_ACTION;93,110343563385;292
0;60;160;ROLL_LEFT;132,657460701567;252
0;60;160;ROLL_RIGHT;118,830031639063;101
0;60;160;NO_ACTION;123,280248145045;645
1;60;160;ROLL_LEFT;141,03636540234;122
1;60;160;ROLL_RIGHT;148,536431242275;205
1;60;160;NO_ACTION;135,610281278575;715
2;60;160;ROLL_LEFT;164,704926488248;792
2;60;160;ROLL_RIGHT;50,6428517516609;78
2;60;160;NO_ACTION;49,6508814180521;77
3;60;160;ROLL_LEFT;162,795566053492;798
3;60;160;ROLL_RIGHT;51,8973705313311;126
3;60;160;NO_ACTION;50,4024379715868;106
3;40;160;ROLL_LEFT;156,296309098602;447
3;40;160;ROLL_RIGHT;34,6579269976734;46
3;40;160;NO_ACTION;42,2412961065134;64
4;40;160;ROLL_LEFT;158,658682297419;523
4;40;160;ROLL_RIGHT;43,4903950283492;62
4;40;160;NO_ACTION;43,8508855903096;65
5;60;160;ROLL_LEFT;162,023048008437;534
5;60;160;ROLL_RIGHT;50,1960965836681;67
5;60;160;NO_ACTION;46,8340506165632;55
7;60;160;ROLL_LEFT;162,560770959265;524
7;60;160;ROLL_RIGHT;48,020256318762;65
7;60;160;NO_ACTION;47,3925422295789;56
8;60;160;ROLL_LEFT;162,878486224658;415
8;60;160;ROLL_RIGHT;46,4835229716932;58
8;60;160;NO_ACTION;44,4904516141353;49
9;80;160;ROLL_LEFT;158,068839421531;329
9;80;160;ROLL_RIGHT;23,0688762714723;27
9;80;160;NO_ACTION;38,2071434782421;45
10;60;160;ROLL_LEFT;159,65403809231;342
10;60;160;ROLL_RIGHT;37,3293869482434;47
10;60;160;NO_ACTION;35,0670485930924;54
11;60;160;ROLL_LEFT;155,608822604757;350
11;60;160;ROLL_RIGHT;29,6173724681916;42
11;60;160;NO_ACTION;35,5004900451137;42
12;40;160;ROLL_LEFT;157,399589511803;365
12;40;160;ROLL_RIGHT;33,7524992501826;37
12;40;160;NO_ACTION;34,7716616856657;48
12;60;160;ROLL_LEFT;149,680069699563;300
12;60;160;ROLL_RIGHT;21,6774908787053;34
12;60;160;NO_ACTION;29,4088426038694;47
13;60;160;ROLL_LEFT;145,332414105353;238
13;60;160;ROLL_RIGHT;10,5973981894337;30
13;60;160;NO_ACTION;7,1932357761564;26
14;80;160;ROLL_LEFT;113,77021198087;148
14;80;160;ROLL_RIGHT;-23,4841848494143;21
14;80;160;NO_ACTION;-21,1092394296218;12
15;80;160;ROLL_LEFT;94,5016298549716;111
15;80;160;ROLL_RIGHT;-20,6294988010889;12
15;80;160;NO_ACTION;-39,1997270943194;14
18;80;160;ROLL_LEFT;92,8549415186811;100
18;80;160;ROLL_RIGHT;-26,1572055973398;9
18;80;160;NO_ACTION;-39,7829628675592;15
19;60;160;ROLL_LEFT;95,1709552645189;87
19;60;160;ROLL_RIGHT;-39,3157453022818;19
19;60;160;NO_ACTION;-18,5465685605137;11
20;40;160;ROLL_LEFT;96,1807234708048;131
20;40;160;ROLL_RIGHT;-29,137729012597;17
20;40;160;NO_ACTION;-16,3374865712454;6
21;40;160;ROLL_LEFT;92,7872736887452;97
21;40;160;ROLL_RIGHT;-28,9987170956289;16
21;40;160;NO_ACTION;-32,2502717473164;11
21;20;160;ROLL_LEFT;98,1110613755057;116
21;20;160;ROLL_RIGHT;-22,3806451802517;11
21;20;160;NO_ACTION;-28,5884578128596;13
21;0;160;ROLL_LEFT;102,47168785704;130
21;0;160;ROLL_RIGHT;-18,1133563469925;20
21;0;160;NO_ACTION;-32,5187256306577;11
22;0;160;ROLL_LEFT;94,6198539273707;101
22;0;160;ROLL_RIGHT;-19,5141383028576;14
22;0;160;NO_ACTION;-28,5889465108586;16
21;-20;160;ROLL_LEFT;101,80966047922;119
21;-20;160;ROLL_RIGHT;-18,1770705482873;17
21;-20;160;NO_ACTION;-30,3385989488509;16
21;-40;160;ROLL_LEFT;98,8547314785763;110
21;-40;160;ROLL_RIGHT;-25,4039211591601;9
21;-40;160;NO_ACTION;-38,9347823172058;17
20;-40;160;ROLL_LEFT;105,668139889091;116
20;-40;160;ROLL_RIGHT;-24,7553848295309;17
20;-40;160;NO_ACTION;-21,0297575065477;25
19;-20;160;ROLL_LEFT;111,505892884704;133
19;-20;160;ROLL_RIGHT;-28,8194654831836;21
19;-20;160;NO_ACTION;-27,2377538973193;20
18;-40;160;ROLL_LEFT;116,766566428723;142
18;-40;160;ROLL_RIGHT;-18,530707882819;25
18;-40;160;NO_ACTION;-23,4351110361953;14
18;-20;160;ROLL_LEFT;112,832722752296;120
18;-20;160;ROLL_RIGHT;-24,598435719532;18
18;-20;160;NO_ACTION;-30,2733436873307;18
17;-40;160;ROLL_LEFT;117,500400176621;121
17;-40;160;ROLL_RIGHT;-4,23136515340175;11
17;-40;160;NO_ACTION;-15,066382384674;13
16;-40;160;ROLL_LEFT;136,900153837241;173
16;-40;160;ROLL_RIGHT;0,101638949472382;24
16;-40;160;NO_ACTION;0,173129726779816;26
15;-40;160;ROLL_LEFT;139,001221435116;214
15;-40;160;ROLL_RIGHT;1,33759494590553;23
15;-40;160;NO_ACTION;-6,34355185375797;26
14;-40;160;ROLL_LEFT;145,148173863409;244
14;-40;160;ROLL_RIGHT;9,75646433147499;25
14;-40;160;NO_ACTION;22,7440091899583;37
13;-60;160;ROLL_LEFT;140,514013131568;245
13;-60;160;ROLL_RIGHT;20,2800517166557;36
13;-60;160;NO_ACTION;16,8999612849441;42
12;-40;160;ROLL_LEFT;146,043770665367;383
12;-40;160;ROLL_RIGHT;29,955651988622;48
12;-40;160;NO_ACTION;21,2248464976504;33
11;-40;160;ROLL_LEFT;145,868646698307;364
11;-40;160;ROLL_RIGHT;33,3476619181385;57
11;-40;160;NO_ACTION;27,9642774858337;46
10;-40;160;ROLL_LEFT;144,110144625151;429
10;-40;160;ROLL_RIGHT;28,3738204961383;51
10;-40;160;NO_ACTION;31,7216851763873;61
9;-60;160;ROLL_LEFT;138,977385831193;421
9;-60;160;ROLL_RIGHT;25,4472752803162;58
9;-60;160;NO_ACTION;22,7794173226523;48
8;-60;160;ROLL_LEFT;136,904106528002;488
8;-60;160;ROLL_RIGHT;25,5729670845105;60
8;-60;160;NO_ACTION;25,868795241132;66
7;-60;160;ROLL_LEFT;136,22707031029;544
7;-60;160;ROLL_RIGHT;27,0784243897889;86
7;-60;160;NO_ACTION;25,5151095694963;65
6;-40;160;ROLL_LEFT;139,923206370586;561
6;-40;160;ROLL_RIGHT;30,2524203878507;103
6;-40;160;NO_ACTION;30,6668757221761;78
5;-40;160;ROLL_LEFT;139,67658367586;643
5;-40;160;ROLL_RIGHT;28,0064042527409;85
5;-40;160;NO_ACTION;28,0984722625411;81
5;-60;160;ROLL_LEFT;135,080351859667;605
5;-60;160;ROLL_RIGHT;23,895013923341;77
5;-60;160;NO_ACTION;25,1131134514355;75
4;-40;160;ROLL_LEFT;136,854696938726;567
4;-40;160;ROLL_RIGHT;25,7045523101542;76
4;-40;160;NO_ACTION;25,4661152699095;76
3;-60;160;ROLL_LEFT;131,381092872775;588
3;-60;160;ROLL_RIGHT;21,0570542428379;80
3;-60;160;NO_ACTION;20,3683681471865;75
2;-20;160;ROLL_LEFT;132,645923469159;214
2;-20;160;ROLL_RIGHT;6,60553454421583;19
2;-20;160;NO_ACTION;9,5939631996814;29
1;-20;160;ROLL_LEFT;108,977350642587;76
1;-20;160;ROLL_RIGHT;-20,3772298491463;9
1;-20;160;NO_ACTION;-19,8525149027936;6
0;-20;160;ROLL_LEFT;108,356596045754;46
0;-20;160;ROLL_RIGHT;-23,7421132309152;5
0;-20;160;NO_ACTION;-37,7979071049412;11
1;20;-160;ROLL_LEFT;-24,0097125916924;15
1;20;-160;ROLL_RIGHT;123,832344783383;110
1;20;-160;NO_ACTION;-20,6267291244638;11
2;40;-160;ROLL_LEFT;-20,0507668727295;17
2;40;-160;ROLL_RIGHT;126,377317219275;133
2;40;-160;NO_ACTION;-19,4738826045112;21
3;40;-160;ROLL_LEFT;-1,65068120505802;30
3;40;-160;ROLL_RIGHT;126,485575716251;193
3;40;-160;NO_ACTION;1,13214603434148;25
4;40;-160;ROLL_LEFT;6,52925200828678;37
4;40;-160;ROLL_RIGHT;121,606897813016;278
4;40;-160;NO_ACTION;10,0428306286732;41
5;40;-160;ROLL_LEFT;3,03099518215941;31
5;40;-160;ROLL_RIGHT;120,776915591151;268
5;40;-160;NO_ACTION;-1,59320103421685;22
5;20;-160;ROLL_LEFT;8,17084947329742;34
5;20;-160;ROLL_RIGHT;123,642491786217;238
5;20;-160;NO_ACTION;10,704895015489;40
6;20;-160;ROLL_LEFT;8,96460739316106;41
6;20;-160;ROLL_RIGHT;121,706330967867;420
6;20;-160;NO_ACTION;10,9238631308675;44
7;20;-160;ROLL_LEFT;8,58145841297218;70
7;20;-160;ROLL_RIGHT;119,050399270714;552
7;20;-160;NO_ACTION;11,3432588932686;73
7;0;-160;ROLL_LEFT;10,1666435051627;86
7;0;-160;ROLL_RIGHT;119,73330088262;660
7;0;-160;NO_ACTION;11,5131651051037;95
8;0;-160;ROLL_LEFT;6,48439442669307;95
8;0;-160;ROLL_RIGHT;117,982145243712;841
8;0;-160;NO_ACTION;9,18097626172269;84
8;20;-160;ROLL_LEFT;6,24406723069422;72
8;20;-160;ROLL_RIGHT;115,585824534913;759
8;20;-160;NO_ACTION;5,58032866544511;97
9;20;-160;ROLL_LEFT;1,76933167160127;106
9;20;-160;ROLL_RIGHT;110,086077283853;848
9;20;-160;NO_ACTION;0,757912405838945;97
9;40;-160;ROLL_LEFT;-6,00902142232788;88
9;40;-160;ROLL_RIGHT;104,738867447149;700
9;40;-160;NO_ACTION;-5,15188048850232;97
10;40;-160;ROLL_LEFT;-13,0989351845942;125
10;40;-160;ROLL_RIGHT;92,9187325505241;886
