Distance;Current_Velocity;Target_Velocity;Move;Value;Times
6;-120;-160;ROLL_RIGHT;-0,300000004470348;1
6;-120;-160;NO_ACTION;-0,598500001832842;2
4;-120;-160;ROLL_LEFT;-0,328500004962087;1
4;-120;-160;ROLL_RIGHT;-0,300000004470348;1
4;-120;-160;NO_ACTION;-0,598500001832842;2
3;-100;-160;ROLL_LEFT;-0,812999992087483;3
3;-100;-160;ROLL_RIGHT;-0,68340243138379;2
3;-100;-160;NO_ACTION;-0,918849703839319;3
2;-100;-160;ROLL_LEFT;-0,84108674183378;3
2;-100;-160;ROLL_RIGHT;-0,997211183464367;3
2;-100;-160;NO_ACTION;-0,89698624040123;3
0;100;160;ROLL_LEFT;-1,02715275842692;4
0;100;160;ROLL_RIGHT;-0,570000001341104;2
0;100;160;NO_ACTION;-0,120239996251728;4
1;80;160;ROLL_LEFT;2,43549416360066;11
1;80;160;ROLL_RIGHT;-0,326029682288917;3
1;80;160;NO_ACTION;-0,345164117111829;2
2;80;160;ROLL_LEFT;7,81239441613309;6
2;80;160;ROLL_RIGHT;-26,2792811487777;3
2;80;160;NO_ACTION;-25,4534004658719;3
3;80;160;ROLL_LEFT;11,0965384504732;12
3;80;160;ROLL_RIGHT;-17,9289393236397;2
3;80;160;NO_ACTION;0;0
4;80;160;ROLL_LEFT;8,74945950292823;9
4;80;160;ROLL_RIGHT;0;0
4;80;160;NO_ACTION;-10,0000001490116;1
5;60;160;ROLL_LEFT;7,60258875001039;7
5;60;160;ROLL_RIGHT;-10,0000001490116;1
5;60;160;NO_ACTION;-10,0000001490116;1
6;60;160;ROLL_LEFT;6,12986059073932;5
6;60;160;ROLL_RIGHT;-10,0000001490116;1
6;60;160;NO_ACTION;-10,0000001490116;1
7;60;160;ROLL_LEFT;3,49642946620073;3
7;60;160;ROLL_RIGHT;-18,6678392446329;2
7;60;160;NO_ACTION;-18,7934132814617;2
8;80;160;ROLL_LEFT;5,66150847133022;5
8;80;160;ROLL_RIGHT;0;0
8;80;160;NO_ACTION;-9,89597514719553;1
9;80;160;ROLL_LEFT;5,33204489913513;6
9;80;160;ROLL_RIGHT;0;0
9;80;160;NO_ACTION;0;0
10;80;160;ROLL_LEFT;1,90000000447035;2
10;80;160;ROLL_RIGHT;0;0
10;80;160;NO_ACTION;-9,88252029690605;1
11;60;160;ROLL_LEFT;1,23663001925423;1
11;60;160;ROLL_RIGHT;-10,0000001490116;1
11;60;160;NO_ACTION;-27,0075906863211;3
12;60;160;ROLL_LEFT;0;0
12;60;160;ROLL_RIGHT;-10,0000001490116;1
12;60;160;NO_ACTION;-18,8104750436772;2
12;80;160;ROLL_LEFT;1,09500001654029;1
12;80;160;ROLL_RIGHT;0;0
12;80;160;NO_ACTION;-10,0000001490116;1
13;80;160;ROLL_LEFT;1,00000001490116;1
13;80;160;ROLL_RIGHT;0;0
13;80;160;NO_ACTION;-10,0000001490116;1
15;80;160;ROLL_LEFT;2,1664750027474;2
15;80;160;ROLL_RIGHT;-9,90500014737249;1
15;80;160;NO_ACTION;-19,0000000447035;2
16;80;160;ROLL_LEFT;2,26095487692055;2
16;80;160;ROLL_RIGHT;-9,72454527577165;1
16;80;160;NO_ACTION;-10,0000001490116;1
17;80;160;ROLL_LEFT;2,89952497465126;3
17;80;160;ROLL_RIGHT;-9,90500014737249;1
17;80;160;NO_ACTION;-26,7480247387621;3
18;80;160;ROLL_LEFT;2,01385796937282;2
18;80;160;ROLL_RIGHT;0;0
18;80;160;NO_ACTION;-10,0000001490116;1
20;80;160;ROLL_LEFT;0;0
