Distance_x;Distance_y;Current_velocity_x;Height;Hole_width;Action;Value
-4;9;10;8;15;MORPH_DOWN;-3,82002112863211
-4;9;10;8;15;NO_ACTION;-3,80772626447746
-4;9;20;8;15;MOVE_LEFT;-3,67375732960495
-4;9;20;8;15;MOVE_RIGHT;-3,6059217421122
-4;9;20;8;15;MORPH_UP;-3,67656166029372
-4;9;20;8;15;MORPH_DOWN;-3,56076498879103
-4;9;20;8;15;NO_ACTION;-3,62168083262584
-3;9;10;8;15;MOVE_LEFT;-3,15108845091824
-3;9;10;8;15;MOVE_RIGHT;-3,17957669264059
-3;9;10;8;15;MORPH_UP;-3,28129620453357
-3;9;10;8;15;MORPH_DOWN;-3,18158539652391
-3;9;10;8;15;NO_ACTION;-3,21822172388294
-3;13;10;12;15;MOVE_LEFT;-3,61265159081217
-3;13;10;12;15;MOVE_RIGHT;-3,65291100864296
-3;13;10;12;15;MORPH_UP;-3,67091667657323
-3;13;10;12;15;MORPH_DOWN;-3,62979544227739
-3;13;10;12;15;NO_ACTION;-3,98773214659021
-3;13;30;12;15;MOVE_LEFT;-3,30789648085994
-3;13;30;12;15;MOVE_RIGHT;-3,27199858400198
-3;13;30;12;15;MORPH_UP;-3,38260183873414
-3;13;30;12;15;MORPH_DOWN;-3,25441401960038
-3;13;30;12;15;NO_ACTION;-3,37937287889798
-3;13;20;12;15;MOVE_LEFT;-3,67122521980255
-3;13;20;12;15;MOVE_RIGHT;-3,51689507566503
-3;13;20;12;15;MORPH_UP;-3,60211970683233
-3;13;20;12;15;MORPH_DOWN;-3,55391526664031
-3;13;20;12;15;NO_ACTION;-3,56658995622064
-2;13;0;12;15;MOVE_LEFT;-3,4339711533363
-2;13;0;12;15;MOVE_RIGHT;-3,52949526388912
-2;13;0;12;15;MORPH_UP;-3,48417111217322
-2;13;0;12;15;MORPH_DOWN;-3,49526885686761
-2;13;0;12;15;NO_ACTION;-3,47497058485585
-3;13;-20;12;15;MOVE_LEFT;-2,85165091784424
-3;13;-20;12;15;MOVE_RIGHT;-3,0915812879895
-3;13;-20;12;15;MORPH_UP;-2,98808554609545
-3;13;-20;12;15;MORPH_DOWN;-2,78199919108387
-3;13;-20;12;15;NO_ACTION;-2,94909204507929
-3;13;0;12;15;MOVE_LEFT;-3,9161036219532
-3;13;0;12;15;MOVE_RIGHT;-4,02790870998946
-3;13;0;12;15;MORPH_UP;-3,91588056615104
-3;13;0;12;15;MORPH_DOWN;-3,90584103863594
